post,spam_label,subject
Buy followers instantly,spam,NA
Earn money from home. Suitable for college students and working professionals. Check it out ! Https://worfjbd.!hbj?gyj,spam,NA
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,spam,NA
"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",spam,NA
Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB﻿,spam,NA
"Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",spam,NA
hey guys!! visit my channel pleaase (i'm searching a dream)﻿,spam,NA
Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ﻿,spam,NA
http://www.twitch.tv/daconnormc﻿,spam,NA
"Go study first, you dumbhead! You have used wrong variables to solve the given questions. Clearly, for large decimal number, a long datatype will be used but you have used float which is incorrect and hence it can not be used for dividing the number. I don't think you have even grasped the basics!",spam,NA
Subscribe me please﻿,spam,NA
Check out my covers I have a video coming out  please subscribe﻿,spam,NA
Subscribe to My CHANNEL﻿,spam,NA
Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿,spam,NA
http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342  Please join me to the voice Liked and shared it please to win more audition  score. Thanks so much﻿,spam,NA
Bro thinks the world revolves around him. Old delusional hypocrite!,spam,NA
"Let me tell you, I was only listening and you were the first one to talk trash about me..",spam,NA
You remind me of last bread pieces which means NOBODY wants you BRAT!,spam,NA
"But the truth is you are the worst person I have ever seen. Okay, you may go now!",spam,NA
"So sad to look at your disgusting, ugly, dark face like yours!",spam,NA
I suggest you to realize how stupid you are to talk like that! Crazy shit!,spam,NA
Help Please!!  http://www.gofundme.com/RJanimalcare﻿,spam,NA
http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,spam,NA
